Wholesale sales growth of tobacco products in the United States in 2019,,
Growth of wholesale shipments of tobacco products in the United States in 2019,,
,,
Vapor,2,in %
Moist smokeless,0.1,in %
Large cigars,0.1,in %
Little filtered cigars,0,in %
"Paper, tubes, wraps",0,in %
Pipe tobacco,0,in %
Roll-your-own,0,in %
Snus,0,in %
Cigarettes,-2.5,in %
