Year,LocationAbbrev,LocationDesc,Population,Topic,Measure,Submeasure,Data Value Unit,Domestic,Imports,Total,Domestic Per Capita,Imports Per Capita,Total Per Capita
2012,US,National,240185952,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,2087086277,152780308,2239866585,9,1,9
2012,US,National,240185952,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,23800851,345143,24145994,0.099,0.001,0.101
2012,US,National,240185952,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Cigarette Equivalents,17940369723,1242185354,19182555077,75,5,80
2012,US,National,240185952,Combustible Tobacco,Cigars,Small Cigars,Cigars,704842141,57193000,762035141,3,0,3
2012,US,National,240185952,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Pounds,36441376,2523189,38964565,0,0,0
2013,US,National,242542967,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Cigarette Equivalents,19208684308,1590358154,20799042462,79,7,86
2013,US,National,242542967,Combustible Tobacco,Cigars,Total Cigars,Cigars,8393593288,4765278000,13158871288,35,20,54
2013,US,National,242542967,Combustible Tobacco,Cigars,Large Cigars,Cigars,7783004119,4716423000,12499427119,32,19,52
2013,US,National,242542967,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Pounds,39017640,3230415,42248055,0,0,0
2013,US,National,242542967,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,1786230154,111391508,1897621662,7,0,8
2013,US,National,242542967,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,3628280,226264,3854544,0,0,0
2013,US,National,242542967,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,266088075153,7697423000,273785498153,1097,32,1129
2013,US,National,242542967,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,20994914462,1701749662,22696664123,87,7,94
2013,US,National,242542967,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,42645920,3456679,46102599,0,0,0
2013,US,National,242542967,Combustible Tobacco,All Combustibles,Total Combustible Tobacco,Cigarette Equivalents,295476582903,14164450662,309641033564,1218,58,1277
2013,US,National,242542967,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,112352476,654149,113006625,0.463,0.003,0.466
2013,US,National,242542967,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,21944042,489659,22433701,0.09,0.002,0.092
2013,US,National,242542967,Combustible Tobacco,Cigars,Small Cigars,Cigars,610589169,48855000,659444169,3,0,3
2014,US,National,245273438,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,1497868308,95975385,1593843692,6,0,6
2014,US,National,245273438,Combustible Tobacco,All Combustibles,Total Combustible Tobacco,Cigarette Equivalents,282020020624,16175868538,298195889163,1150,66,1216
2014,US,National,245273438,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,21335199,630212,21965411,0.087,0.003,0.09
2014,US,National,245273438,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,40685649,3636355,44322004,0,0,0
2014,US,National,245273438,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,20029857969,1790205538,21820063508,82,7,89
2014,US,National,245273438,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,3042545,194950,3237495,0,0,0
2014,US,National,245273438,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,254486570103,8194703000,262681273103,1038,33,1071
2014,US,National,245273438,Combustible Tobacco,Cigars,Small Cigars,Cigars,542454495,21403000,563857495,2,0,2
