,Year,Combustible,Type,Subtype,Unit,Domestic,Imports,Total
226,2017,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,118596158.0,549547.0,119145705.0
227,2017,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,2462689.0,202108.0,2664797.0
228,2017,Combustible Tobacco,Cigars,Total Cigars,Cigars,22682030.759375002,31730554.375,54412585.134375
229,2017,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,2462688.9990625,202107.99984375,2664797.0009375
230,2017,Combustible Tobacco,All Combustibles,Total Combustible Tobacco,Cigarette Equivalents,534949021.91859376,35711652.90671875,570660674.8253125
231,2017,Combustible Tobacco,Cigars,Large Cigars,Cigars,20997475.354375,31628187.5,52625662.854375005
232,2017,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,37536971.0,3867574.0,41404545.0
233,2017,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Cigarette Equivalents,35074282.00046875,3665466.0006250003,38739747.9990625
234,2018,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,34639589.999218754,7387841.000312501,42027430.999531254
235,2018,Combustible Tobacco,Cigars,Small Cigars,Cigars,1446859.245,127375.625,1574234.87
236,2018,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Pounds,32689197.0,7243901.0,39933098.0
237,2018,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,16781079.0,1285902.0,18066981.0
238,2018,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,460923295.70421875,17069190.9375,477992486.64171875
239,2018,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,115535322.0,590382.0,116125704.0
240,2018,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,1950393.0,143940.0,2094333.0
241,2018,Combustible Tobacco,Cigars,Total Cigars,Cigars,21834973.249375,31619321.5609375,53454294.8103125
242,2018,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,1950393.00015625,143939.99953125,2094332.9996875
243,2018,Combustible Tobacco,All Combustibles,Total Combustible Tobacco,Cigarette Equivalents,506480372.328125,40266692.718281254,546747065.0464063
244,2018,Combustible Tobacco,Cigars,Large Cigars,Cigars,20388114.004375,31491945.9359375,51880059.940312505
245,2018,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,34639590.0,7387841.0,42027431.0
246,2018,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Cigarette Equivalents,32689196.9990625,7243901.00078125,39933097.999843754
